model,convnext,convnext,convnext,convnext,convnextl,convnextl,convnextl,convnextl,effv2l,effv2l,effv2l,effv2l,effv2s,effv2s,effv2s,effv2s,mobilenet,mobilenet,mobilenet,mobilenet,nasnet,nasnet,nasnet,nasnet,resnet101v2,resnet101v2,resnet101v2,resnet101v2
metric,precision,recall,f1,support,precision,recall,f1,support,precision,recall,f1,support,precision,recall,f1,support,precision,recall,f1,support,precision,recall,f1,support,precision,recall,f1,support
Alveolina,0.9514,0.9971,0.9737,5129.0,0.9613,0.9967,0.9787,5129.0,0.9298,0.9969,0.9622,5129.0,0.9442,0.999,0.9708,5129.0,0.969,0.9992,0.9839,5129.0,0.934,0.9912,0.9618,5129.0,0.9848,0.961,0.9728,5129.0
Arumella,0.9966,0.9348,0.9647,2163.0,0.993,0.9773,0.9851,2163.0,0.9967,0.9806,0.9886,2163.0,0.9968,0.8558,0.9209,2163.0,0.9565,0.9561,0.9563,2163.0,0.9985,0.9431,0.97,2163.0,0.985,0.8803,0.9297,2163.0
Ataxophragmium,0.9929,0.9943,0.9936,4898.0,0.9957,0.989,0.9923,4898.0,0.9958,0.9743,0.9849,4898.0,0.9919,0.9724,0.9821,4898.0,0.9302,0.9871,0.9578,4898.0,0.9926,0.9857,0.9891,4898.0,0.831,0.9749,0.8972,4898.0
Baculogypsina,0.9958,0.0802,0.1484,2980.0,0.9972,0.4849,0.6525,2980.0,0.9197,0.3305,0.4863,2980.0,0.9966,0.4973,0.6635,2980.0,0.9863,0.2889,0.4469,2980.0,0.9748,0.4413,0.6075,2980.0,0.9601,0.105,0.1894,2980.0
Chrysalidina,0.9425,0.9325,0.9375,5111.0,0.92,0.9988,0.9578,5111.0,0.945,0.9978,0.9707,5111.0,0.9229,0.9108,0.9168,5111.0,0.9084,0.8538,0.8803,5111.0,0.9104,0.9922,0.9495,5111.0,0.6124,0.7625,0.6792,5111.0
Coskinolina,0.9962,0.9322,0.9631,5060.0,0.9788,0.9858,0.9823,5060.0,0.9719,0.9569,0.9643,5060.0,0.9806,0.9385,0.9591,5060.0,0.8867,0.9733,0.928,5060.0,0.9545,0.9324,0.9433,5060.0,0.9621,0.9285,0.945,5060.0
Elphidiella,0.8502,0.9962,0.9174,3385.0,0.9667,0.9962,0.9812,3385.0,0.9735,0.9973,0.9853,3385.0,0.7738,0.9905,0.8689,3385.0,0.6237,0.9959,0.767,3385.0,0.9317,0.9947,0.9621,3385.0,0.7711,0.9651,0.8573,3385.0
Fallotia,0.9964,0.9994,0.9979,5009.0,0.9948,0.999,0.9969,5009.0,0.9707,0.9972,0.9838,5009.0,0.994,0.9994,0.9967,5009.0,0.999,0.9986,0.9988,5009.0,0.9984,0.9994,0.9989,5009.0,0.9996,0.994,0.9968,5009.0
Lockhartia,0.964,0.9996,0.9815,5359.0,0.9684,0.9998,0.9838,5359.0,0.9928,0.9994,0.9961,5359.0,0.9974,0.9981,0.9978,5359.0,0.9991,0.9925,0.9958,5359.0,0.9781,0.9994,0.9886,5359.0,0.975,0.9963,0.9855,5359.0
Minoxia,0.8896,0.9829,0.9339,3557.0,0.9922,0.8946,0.9409,3557.0,0.9868,0.9904,0.9886,3557.0,0.8083,0.959,0.8772,3557.0,0.8853,0.9005,0.8928,3557.0,0.9685,0.9592,0.9638,3557.0,0.7676,0.4911,0.599,3557.0
Orbitoides,0.6265,0.8495,0.7211,5015.0,0.7796,0.9416,0.853,5015.0,0.6909,0.8985,0.7811,5015.0,0.7169,0.7623,0.7389,5015.0,0.6,0.5904,0.5952,5015.0,0.7393,0.8973,0.8107,5015.0,0.603,0.7916,0.6845,5015.0
Rhapydionina,0.9847,0.9971,0.9909,3802.0,0.9901,0.9758,0.9829,3802.0,0.9866,0.9077,0.9455,3802.0,0.9914,0.9708,0.981,3802.0,0.9903,0.8593,0.9202,3802.0,0.9949,0.9269,0.9597,3802.0,0.982,0.9445,0.9629,3802.0
